name,country,x,y,geometry,bidding_zone,NUTS_NAME,NUTS_ID
AL0 0,AL,19.894573416123823,41.56180368043655,POINT (19.894573416123823 41.56180368043655),1820.0,Shqipëria,AL0
AT0 0,AT,9.790192,47.138359,POINT (9.790192 47.138359),1861.0,Westösterreich,AT3
AT0 1,AT,15.692596,48.293244,POINT (15.692596 48.293244),1763.0,Ostösterreich,AT1
AT0 10,AT,15.871811,47.1222125,POINT (15.871811 47.1222125),1764.0,Südösterreich,AT2
AT0 11,AT,14.794464,47.323,POINT (14.794464 47.323),1764.0,Südösterreich,AT2
AT0 12,AT,14.4744875,48.1188925,POINT (14.4744875 48.1188925),1861.0,Westösterreich,AT3
AT0 13,AT,14.0844725,46.5498885,POINT (14.0844725 46.5498885),1764.0,Südösterreich,AT2
AT0 14,AT,16.80038466666667,48.02081,POINT (16.80038466666667 48.02081),1763.0,Ostösterreich,AT1
AT0 15,AT,16.357269,48.133101,POINT (16.357269 48.133101),1763.0,Ostösterreich,AT1
AT0 16,AT,13.867492666666667,48.09734066666667,POINT (13.867492666666667 48.09734066666667),1861.0,Westösterreich,AT3
AT0 17,AT,14.904327,48.130351,POINT (14.904327 48.130351),1763.0,Ostösterreich,AT1
AT0 18,AT,15.972748,47.715306,POINT (15.972748 47.715306),1763.0,Ostösterreich,AT1
AT0 19,AT,9.693145666666666,47.38034966666667,POINT (9.693145666666666 47.38034966666667),1861.0,Westösterreich,AT3
AT0 2,AT,12.638397,47.3318415,POINT (12.638397 47.3318415),1861.0,Westösterreich,AT3
AT0 20,AT,15.422058,48.118434,POINT (15.422058 48.118434),1763.0,Ostösterreich,AT1
AT0 3,AT,14.164581333333333,47.68070566666668,POINT (14.164581333333333 47.68070566666668),1861.0,Westösterreich,AT3
AT0 4,AT,16.399841,48.323387,POINT (16.399841 48.323387),1763.0,Ostösterreich,AT1
AT0 5,AT,10.75392492148378,47.192007776369,POINT (10.75392492148378 47.192007776369),1861.0,Westösterreich,AT3
AT0 6,AT,11.839142,47.330446,POINT (11.839142 47.330446),1861.0,Westösterreich,AT3
AT0 7,AT,14.55073077989585,46.5518072915435,POINT (14.55073077989585 46.5518072915435),1764.0,Südösterreich,AT2
AT0 8,AT,13.057251,48.139841,POINT (13.057251 48.139841),1861.0,Westösterreich,AT3
AT0 9,AT,12.693329,46.798179,POINT (12.693329 46.798179),1861.0,Westösterreich,AT3
BA0 0,BA,19.388123,43.723475,POINT (19.388123 43.723475),,,
BA0 1,BA,17.0446015,44.5725045,POINT (17.0446015 44.5725045),,,
BA0 2,BA,18.51299275,44.66179825,POINT (18.51299275 44.66179825),,,
BA0 3,BA,18.0780123583044,43.48895930889462,POINT (18.0780123583044 43.48895930889462),,,
BE0 0,BE,4.284668,50.537872,POINT (4.284668 50.537872),1864.0,Région wallonne,BE3
BE0 1,BE,5.5329895,50.5278215,POINT (5.5329895 50.5278215),1864.0,Région wallonne,BE3
BE0 10,BE,4.16901192944601,50.7312859177,POINT (4.16901192944601 50.7312859177),1863.0,Vlaams Gewest,BE2
BE0 11,BE,4.276085000000005,51.310857,POINT (4.276085000000005 51.310857),1863.0,Vlaams Gewest,BE2
BE0 12,BE,4.50027499999999,50.523032,POINT (4.50027499999999 50.523032),1864.0,Région wallonne,BE3
BE0 13,BE,4.53048699999999,51.106109,POINT (4.53048699999999 51.106109),1863.0,Vlaams Gewest,BE2
BE0 14,BE,3.76556400000001,51.12766,POINT (3.76556400000001 51.12766),1863.0,Vlaams Gewest,BE2
BE0 15,BE,5.56751076838619,50.92821157607873,POINT (5.56751076838619 50.92821157607873),1863.0,Vlaams Gewest,BE2
BE0 16,BE,5.04821799999999,50.24457,POINT (5.04821799999999 50.24457),1864.0,Région wallonne,BE3
BE0 17,BE,4.21188400000001,51.012027,POINT (4.21188400000001 51.012027),1863.0,Vlaams Gewest,BE2
BE0 18,BE,5.08529699999999,51.079371,POINT (5.08529699999999 51.079371),1863.0,Vlaams Gewest,BE2
BE0 19,BE,5.62912000000001,50.042148,POINT (5.62912000000001 50.042148),1864.0,Région wallonne,BE3
BE0 2,BE,3.35289,50.6746005,POINT (3.35289 50.6746005),1864.0,Région wallonne,BE3
BE0 20,BE,5.21713299999999,50.461001,POINT (5.21713299999999 50.461001),1864.0,Région wallonne,BE3
BE0 21,BE,5.718841333333333,50.653762666666665,POINT (5.718841333333333 50.653762666666665),1864.0,Région wallonne,BE3
BE0 22,BE,4.22012299999999,50.864911,POINT (4.22012299999999 50.864911),1863.0,Vlaams Gewest,BE2
BE0 23,BE,5.52200299999999,50.231395,POINT (5.52200299999999 50.231395),1864.0,Région wallonne,BE3
BE0 24,BE,3.57330299999999,51.016347,POINT (3.57330299999999 51.016347),1863.0,Vlaams Gewest,BE2
BE0 25,BE,4.603271,51.209464,POINT (4.603271 51.209464),1863.0,Vlaams Gewest,BE2
BE0 26,BE,5.394287,50.499853,POINT (5.394287 50.499853),1864.0,Région wallonne,BE3
BE0 3,BE,4.177551,51.162122,POINT (4.177551 51.162122),1863.0,Vlaams Gewest,BE2
BE0 4,BE,4.927368,51.134555,POINT (4.927368 51.134555),1863.0,Vlaams Gewest,BE2
BE0 5,BE,3.551331,51.193976,POINT (3.551331 51.193976),1863.0,Vlaams Gewest,BE2
BE0 6,BE,5.807647666666663,50.34269866666667,POINT (5.807647666666663 50.34269866666667),1864.0,Région wallonne,BE3
BE0 7,BE,3.271866,51.236125,POINT (3.271866 51.236125),1863.0,Vlaams Gewest,BE2
BE0 8,BE,4.836731,50.495958,POINT (4.836731 50.495958),1864.0,Région wallonne,BE3
BE0 9,BE,5.700531,49.701337,POINT (5.700531 49.701337),1864.0,Région wallonne,BE3
BG0 0,BG,25.311127,42.746406,POINT (25.311127 42.746406),1865.0,Северна и Югоизточна България,BG3
BG0 1,BG,24.049072,42.22445,POINT (24.049072 42.22445),1866.0,Югозападна и Южна централна България,BG4
BG0 10,BG,26.8114475,43.029276,POINT (26.8114475 43.029276),1865.0,Северна и Югоизточна България,BG3
BG0 11,BG,25.8207587969391,42.91537373708205,POINT (25.8207587969391 42.91537373708205),1865.0,Северна и Югоизточна България,BG3
BG0 2,BG,27.5193785,43.366111,POINT (27.5193785 43.366111),1865.0,Северна и Югоизточна България,BG3
BG0 3,BG,26.13739,42.293835,POINT (26.13739 42.293835),1865.0,Северна и Югоизточна България,BG3
BG0 4,BG,23.5141755,43.608463,POINT (23.5141755 43.608463),1865.0,Северна и Югоизточна България,BG3
BG0 5,BG,24.402694500000003,42.1725105,POINT (24.402694500000003 42.1725105),1866.0,Югозападна и Южна централна България,BG4
BG0 6,BG,27.358704,42.576344,POINT (27.358704 42.576344),1865.0,Северна и Югоизточна България,BG3
BG0 7,BG,23.205185,42.2278135,POINT (23.205185 42.2278135),1866.0,Югозападна и Южна централна България,BG4
BG0 8,BG,24.398346,43.14267566666666,POINT (24.398346 43.14267566666666),1865.0,Северна и Югоизточна България,BG3
BG0 9,BG,23.3372955,42.7246445,POINT (23.3372955 42.7246445),1866.0,Югозападна и Южна централна България,BG4
CH0 0,CH,6.762085000000005,46.55789725,POINT (6.762085000000005 46.55789725),1867.0,Schweiz/Suisse/Svizzera,CH0
CH0 1,CH,8.829480790973218,46.91678287757665,POINT (8.829480790973218 46.91678287757665),1867.0,Schweiz/Suisse/Svizzera,CH0
CH0 10,CH,6.10651025,46.28986289852745,POINT (6.10651025 46.28986289852745),1807.0,Auvergne-Rhône-Alpes,FRK
CH0 11,CH,7.199477999999999,47.07921825,POINT (7.199477999999999 47.07921825),1867.0,Schweiz/Suisse/Svizzera,CH0
CH0 12,CH,8.611098100208151,47.34424446061679,POINT (8.611098100208151 47.34424446061679),1867.0,Schweiz/Suisse/Svizzera,CH0
CH0 13,CH,7.414856,46.37398433333334,POINT (7.414856 46.37398433333334),1867.0,Schweiz/Suisse/Svizzera,CH0
CH0 14,CH,9.434738333333335,46.7669465,POINT (9.434738333333335 46.7669465),1867.0,Schweiz/Suisse/Svizzera,CH0
