,index,name,country_y,LON,LAT,geometry_y,bidding_zone_y,NUTS_NAME,NUTS_ID
0,0,BE0 0,BE,4284668.0,50537872,POINT (4284668 50537872),BE,Région wallonne,BE3
1,1,BE0 1,BE,55329895.0,505278215,POINT (55329895 505278215),BE,Région wallonne,BE3
2,2,BE0 10,BE,4169011929.0,5073128592,POINT (4169011929 5073128592),BE,Vlaams Gewest,BE2
3,3,BE0 11,BE,4276085.0,51310857,POINT (4276085 51310857),BE,Vlaams Gewest,BE2
4,4,BE0 12,BE,4500275.0,50523032,POINT (4500275 50523032),BE,Région wallonne,BE3
5,5,BE0 13,BE,4530487.0,51106109,POINT (4530487 51106109),BE,Vlaams Gewest,BE2
6,6,BE0 14,BE,3765564.0,5112766,POINT (3765564 5112766),BE,Vlaams Gewest,BE2
7,7,BE0 15,BE,5567510768.0,5092821158,POINT (5567510768 5092821158),BE,Vlaams Gewest,BE2
8,8,BE0 16,BE,5048218.0,5024457,POINT (5048218 5024457),BE,Région wallonne,BE3
9,9,BE0 17,BE,4211884.0,51012027,POINT (4211884 51012027),BE,Vlaams Gewest,BE2
10,10,BE0 18,BE,5085297.0,51079371,POINT (5085297 51079371),BE,Vlaams Gewest,BE2
11,11,BE0 19,BE,562912.0,50042148,POINT (562912 50042148),BE,Région wallonne,BE3
12,12,BE0 2,BE,335289.0,506746005,POINT (335289 506746005),BE,Région wallonne,BE3
13,13,BE0 20,BE,5217133.0,50461001,POINT (5217133 50461001),BE,Région wallonne,BE3
14,14,BE0 21,BE,5718841333.0,5065376267,POINT (5718841333 5065376267),BE,Région wallonne,BE3
15,15,BE0 22,BE,4220123.0,50864911,POINT (4220123 50864911),BE,Vlaams Gewest,BE2
16,16,BE0 23,BE,5522003.0,50231395,POINT (5522003 50231395),BE,Région wallonne,BE3
17,17,BE0 24,BE,3573303.0,51016347,POINT (3573303 51016347),BE,Vlaams Gewest,BE2
18,18,BE0 25,BE,4603271.0,51209464,POINT (4603271 51209464),BE,Vlaams Gewest,BE2
19,19,BE0 26,BE,5394287.0,50499853,POINT (5394287 50499853),BE,Région wallonne,BE3
20,20,BE0 3,BE,4177551.0,51162122,POINT (4177551 51162122),BE,Vlaams Gewest,BE2
21,21,BE0 4,BE,4927368.0,51134555,POINT (4927368 51134555),BE,Vlaams Gewest,BE2
22,22,BE0 5,BE,3551331.0,51193976,POINT (3551331 51193976),BE,Vlaams Gewest,BE2
23,23,BE0 6,BE,5807647667.0,5034269867,POINT (5807647667 5034269867),BE,Région wallonne,BE3
24,24,BE0 7,BE,3271866.0,51236125,POINT (3271866 51236125),BE,Vlaams Gewest,BE2
25,25,BE0 8,BE,4836731.0,50495958,POINT (4836731 50495958),BE,Région wallonne,BE3
26,26,BE0 9,BE,5700531.0,49701337,POINT (5700531 49701337),BE,Région wallonne,BE3
27,27,CZ0 0,CZ,1399887067.0,4955319867,POINT (1399887067 4955319867),CZ,Česko,CZ0
28,28,CZ0 1,CZ,16351776.0,49432413,POINT (16351776 49432413),CZ,Česko,CZ0
29,29,CZ0 10,CZ,183955765.0,4972748325,POINT (183955765 4972748325),CZ,Česko,CZ0
30,30,CZ0 11,CZ,1325412257.0,4971442844,POINT (1325412257 4971442844),CZ,Česko,CZ0
31,31,CZ0 12,CZ,1673812521.0,4986157236,POINT (1673812521 4986157236),CZ,Česko,CZ0
32,32,CZ0 13,CZ,1747902151.0,4938605795,POINT (1747902151 4938605795),CZ,Česko,CZ0
33,33,CZ0 14,CZ,14458008.0,50591084,POINT (14458008 50591084),CZ,Česko,CZ0
34,34,CZ0 15,CZ,15639038.0,49402037,POINT (15639038 49402037),CZ,Česko,CZ0
35,35,CZ0 16,CZ,16789169.0,489914585,POINT (16789169 489914585),CZ,Česko,CZ0
36,36,CZ0 17,CZ,138887785.0,50465225,POINT (138887785 50465225),CZ,Česko,CZ0
37,37,CZ0 18,CZ,1523428015.0,5054520206,POINT (1523428015 5054520206),CZ,Česko,CZ0
38,38,CZ0 19,CZ,1470245947.0,4931884904,POINT (1470245947 4931884904),CZ,Česko,CZ0
39,39,CZ0 2,CZ,177223205.0,49839234,POINT (177223205 49839234),CZ,Česko,CZ0
40,40,CZ0 3,CZ,1348421442.0,5017046401,POINT (1348421442 5017046401),CZ,Česko,CZ0
41,41,CZ0 4,CZ,14835663.0,50083582,POINT (14835663 50083582),CZ,Česko,CZ0
42,42,CZ0 5,CZ,1559600833.0,5017147867,POINT (1559600833 5017147867),CZ,Česko,CZ0
43,43,CZ0 6,CZ,12794952.0,50159305,POINT (12794952 50159305),CZ,Česko,CZ0
44,44,CZ0 7,CZ,143028255.0,490948575,POINT (143028255 490948575),CZ,Česko,CZ0
45,45,CZ0 8,CZ,14372177.0,500072875,POINT (14372177 500072875),CZ,Česko,CZ0
46,46,CZ0 9,CZ,16162262.0,48995537,POINT (16162262 48995537),CZ,Česko,CZ0
47,47,DE0 0,DE,99570465.0,49767698,POINT (99570465 49767698),DE,Bayern,DE2
48,48,DE0 1,DE,7023010333.0,5158043333,POINT (7023010333 5158043333),DE,Nordrhein-Westfalen,DEA
49,49,DE0 10,DE,10469055.0,52192138,POINT (10469055 52192138),DE,Niedersachsen,DE9
50,50,DE0 100,DE,1351559314.0,5251871882,POINT (1351559314 5251871882),DE,Berlin,DE3
51,51,DE0 101,DE,121289065.0,53129313,POINT (121289065 53129313),DE,Brandenburg,DE4
52,52,DE0 102,DE,9019762452.0,5007652789,POINT (9019762452 5007652789),DE,Bayern,DE2
53,53,DE0 103,DE,8525848333.0,4920769233,POINT (8525848333 4920769233),DE,Baden-Württemberg,DE1
54,54,DE0 104,DE,11260986.0,48348948,POINT (11260986 48348948),DE,Bayern,DE2
55,55,DE0 105,DE,13035278.0,4867736,POINT (13035278 4867736),DE,Bayern,DE2
56,56,DE0 106,DE,6892689055.0,4936880068,POINT (6892689055 4936880068),DE,Saarland,DEC
57,57,DE0 107,DE,7546629394.0,5103749733,POINT (7546629394 5103749733),DE,Nordrhein-Westfalen,DEA
58,58,DE0 108,DE,7675323.0,51975576,POINT (7675323 51975576),DE,Nordrhein-Westfalen,DEA
59,59,DE0 109,DE,129906465.0,51839165,POINT (129906465 51839165),DE,Sachsen-Anhalt,DEE
60,60,DE0 11,DE,10347748.0,47742094,POINT (10347748 47742094),DE,Bayern,DE2
61,61,DE0 110,DE,12049255.0,49688955,POINT (12049255 49688955),DE,Bayern,DE2
62,62,DE0 111,DE,13599701.0,54113358,POINT (13599701 54113358),DE,Mecklenburg-Vorpommern,DE8
63,63,DE0 112,DE,79499815.0,48571558,POINT (79499815 48571558),DE,Baden-Württemberg,DE1
64,64,DE0 113,DE,8328323.0,524053095,POINT (8328323 524053095),DE,Niedersachsen,DE9
65,65,DE0 114,DE,1480957.0,51146617,POINT (1480957 51146617),DE,Sachsen,DED
66,66,DE0 115,DE,66638945.0,51590705,POINT (66638945 51590705),DE,Nordrhein-Westfalen,DEA
67,67,DE0 116,DE,9575485186.0,5124583803,POINT (9575485186 5124583803),DE,Hessen,DE7
68,68,DE0 117,DE,9672089.0,50543981,POINT (9672089 50543981),DE,Hessen,DE7
69,69,DE0 118,DE,10239258.0,52266052,POINT (10239258 52266052),DE,Niedersachsen,DE9
70,70,DE0 119,DE,8442095526.0,5319180001,POINT (8442095526 5319180001),DE,Niedersachsen,DE9
71,71,DE0 12,DE,7870325996.0,5171282843,POINT (7870325996 5171282843),DE,Nordrhein-Westfalen,DEA
72,72,DE0 120,DE,8825455.0,49956957,POINT (8825455 49956957),DE,Hessen,DE7
73,73,DE0 121,DE,8814697333.0,5137320467,POINT (8814697333 5137320467),DE,Hessen,DE7
74,74,DE0 122,DE,8243866.0,48763431,POINT (8243866 48763431),DE,Baden-Württemberg,DE1
75,75,DE0 123,DE,101877595.0,48558846,POINT (101877595 48558846),DE,Baden-Württemberg,DE1
76,76,DE0 124,DE,1102066.0,48441956,POINT (1102066 48441956),DE,Bayern,DE2
77,77,DE0 125,DE,7097168.0,50632042,POINT (7097168 50632042),DE,Nordrhein-Westfalen,DEA
78,78,DE0 126,DE,72166445.0,494109715,POINT (72166445 494109715),DE,Saarland,DEC
