;Wind_Farm_Name;Country;LAT;LON;Capacity (MW);Distance to Shore (km);Market Zone;geometry
0;Belgian Cluster;BE;5.160.276.442;277.040.475;5856.5;4.166.666.667;BE;POINT (2.77040475 51.60276442)
1;German North Sea 1;DE;544.046.908;7.687.726;6727;51;DE;POINT (7.687726 54.4046908)
2;German North Sea 2;DE;5.407.091.575;665.097.375;415.125;57.25;DE;POINT (6.65097375 54.07091575)
3;German North Sea 3;DE;54.349.079;615.986.025;6366;98.5;DE;POINT (6.15986025 54.349079)
4;German North Sea 4;DE;55.054.568;69.417.474;4814;79.8;DE;POINT (6.9417474 55.054568)
5;German Baltic 1;DE;54.611.931;12.638.321;913.5;15.5;DE;POINT (12.638321 54.611931)
6;German Baltic 2;DE;548.313.844;139.458.228;1767.5;34.8;DE;POINT (13.9458228 54.8313844)
7;Dutch cluster 1;NL;51.71;3.002.486;1502;45;NL;POINT (3.002486 51.71)
8;Dutch cluster 2;NL;5.250.844.957;4.060.855.571;7977;3.178.571.429;NL;POINT (4.060855571 52.50844957)
9;Dutch cluster 3;NL;540.297.565;56.883.495;1300;90;NL;POINT (5.6883495 54.0297565)
10;PL cluster;PL;5.511.999.533;1.726.053.683;6073.5;4.316.666.667;PL;POINT (17.26053683 55.11999533)
11;GB cluster1;UK;5.818.381.125;-27.885.905;3420;24.75;UK;POINT (-2.7885905 58.18381125)
12;GB cluster2;UK;5.723.333.333;-173.111;173;1.433.333.333;UK;POINT (-1.73111 57.23333333)
13;GB cluster3;UK;564.649.554;-19.419.404;5568;29.5;UK;POINT (-1.9419404 56.4649554)
14;GB cluster4;UK;549.099.888;21.113.776;5100;142.4;UK;POINT (2.1113776 54.9099888)
15;GB cluster5;UK;539.412.425;17.127.705;6004;98.75;UK;POINT (1.7127705 53.9412425)
16;GB cluster6;UK;5.324.277.367;1.130.883.667;2875;2.708.333.333;UK;POINT (1.130883667 53.24277367)
17;GB cluster7;UK;5.275.555.667;2.847.397;5080;63;UK;POINT (2.847397 52.75555667)
18;GB cluster8;UK;5.200.182.013;2.096.586;4988;35.25;UK;POINT (2.096586 52.00182013)
19;Danish north sea;DK;5.560.990.733;7.728.333.333;776;2.666.666.667;DK1;POINT (7.728333333 55.60990733)
