index;name;country_y;LON;LAT;geometry_y;bidding_zone_y;NUTS_NAME;NUTS_ID;BZ2;p_nom;carrier;marginal_cost;efficiency
0;BE0 0;BE;4284668;50537872;POINT (4284668 50537872);BE;Région wallonne;BE3;BE;350;CCGT;47.2;0.5
0;BE0 0;BE;4284668;50537872;POINT (4284668 50537872);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
0;BE0 0;BE;4284668;50537872;POINT (4284668 50537872);BE;Région wallonne;BE3;BE;0;solar;0.01;1
1;BE0 1;BE;55329895;505278215;POINT (55329895 505278215);BE;Région wallonne;BE3;BE;1.086.434.526;CCGT;47.2;0.5
1;BE0 1;BE;55329895;505278215;POINT (55329895 505278215);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
1;BE0 1;BE;55329895;505278215;POINT (55329895 505278215);BE;Région wallonne;BE3;BE;10;ror;0;0.9
1;BE0 1;BE;55329895;505278215;POINT (55329895 505278215);BE;Région wallonne;BE3;BE;0;solar;0.01;1
2;BE0 10;BE;4169011929;5073128592;POINT (4169011929 5073128592);BE;Vlaams Gewest;BE2;BE;465;CCGT;47.2;0.5
2;BE0 10;BE;4169011929;5073128592;POINT (4169011929 5073128592);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
2;BE0 10;BE;4169011929;5073128592;POINT (4169011929 5073128592);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
3;BE0 11;BE;4276085;51310857;POINT (4276085 51310857);BE;Vlaams Gewest;BE2;BE;896.222.329;OCGT;5.838.461.538;0.39
3;BE0 11;BE;4276085;51310857;POINT (4276085 51310857);BE;Vlaams Gewest;BE2;BE;2910;nuclear;1.690.207.715;0.337
3;BE0 11;BE;4276085;51310857;POINT (4276085 51310857);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
3;BE0 11;BE;4276085;51310857;POINT (4276085 51310857);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
4;BE0 12;BE;4500275;50523032;POINT (4500275 50523032);BE;Région wallonne;BE3;BE;413;CCGT;47.2;0.5
4;BE0 12;BE;4500275;50523032;POINT (4500275 50523032);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
4;BE0 12;BE;4500275;50523032;POINT (4500275 50523032);BE;Région wallonne;BE3;BE;0;solar;0.01;1
5;BE0 13;BE;4530487;51106109;POINT (4530487 51106109);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
5;BE0 13;BE;4530487;51106109;POINT (4530487 51106109);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
6;BE0 14;BE;3765564;5112766;POINT (3765564 5112766);BE;Vlaams Gewest;BE2;BE;672;CCGT;47.2;0.5
6;BE0 14;BE;3765564;5112766;POINT (3765564 5112766);BE;Vlaams Gewest;BE2;BE;1.446.069.863;OCGT;5.838.461.538;0.39
6;BE0 14;BE;3765564;5112766;POINT (3765564 5112766);BE;Vlaams Gewest;BE2;BE;268;biomass;1.495.726.496;0.468
6;BE0 14;BE;3765564;5112766;POINT (3765564 5112766);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
6;BE0 14;BE;3765564;5112766;POINT (3765564 5112766);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
7;BE0 15;BE;5567510768;5092821158;POINT (5567510768 5092821158);BE;Vlaams Gewest;BE2;BE;470;coal;2.410.344.828;0.464
7;BE0 15;BE;5567510768;5092821158;POINT (5567510768 5092821158);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
7;BE0 15;BE;5567510768;5092821158;POINT (5567510768 5092821158);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
8;BE0 16;BE;5048218;5024457;POINT (5048218 5024457);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
8;BE0 16;BE;5048218;5024457;POINT (5048218 5024457);BE;Région wallonne;BE3;BE;0;solar;0.01;1
9;BE0 17;BE;4211884;51012027;POINT (4211884 51012027);BE;Vlaams Gewest;BE2;BE;3.504.903.902;CCGT;47.2;0.5
9;BE0 17;BE;4211884;51012027;POINT (4211884 51012027);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
9;BE0 17;BE;4211884;51012027;POINT (4211884 51012027);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
10;BE0 18;BE;5085297;51079371;POINT (5085297 51079371);BE;Vlaams Gewest;BE2;BE;419.8;OCGT;5.838.461.538;0.39
10;BE0 18;BE;5085297;51079371;POINT (5085297 51079371);BE;Vlaams Gewest;BE2;BE;2.351.078.706;coal;2.410.344.828;0.464
10;BE0 18;BE;5085297;51079371;POINT (5085297 51079371);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
10;BE0 18;BE;5085297;51079371;POINT (5085297 51079371);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
11;BE0 19;BE;562912;50042148;POINT (562912 50042148);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
11;BE0 19;BE;562912;50042148;POINT (562912 50042148);BE;Région wallonne;BE3;BE;0;solar;0.01;1
12;BE0 2;BE;335289;506746005;POINT (335289 506746005);BE;Région wallonne;BE3;BE;8.196.505.762;coal;2.410.344.828;0.464
12;BE0 2;BE;335289;506746005;POINT (335289 506746005);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
12;BE0 2;BE;335289;506746005;POINT (335289 506746005);BE;Région wallonne;BE3;BE;0;solar;0.01;1
13;BE0 20;BE;5217133;50461001;POINT (5217133 50461001);BE;Région wallonne;BE3;BE;3015.8;nuclear;1.690.207.715;0.337
13;BE0 20;BE;5217133;50461001;POINT (5217133 50461001);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
13;BE0 20;BE;5217133;50461001;POINT (5217133 50461001);BE;Région wallonne;BE3;BE;6.084.662.865;ror;0;0.9
13;BE0 20;BE;5217133;50461001;POINT (5217133 50461001);BE;Région wallonne;BE3;BE;0;solar;0.01;1
14;BE0 21;BE;5718841333;5065376267;POINT (5718841333 5065376267);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
14;BE0 21;BE;5718841333;5065376267;POINT (5718841333 5065376267);BE;Région wallonne;BE3;BE;2.684.012.397;ror;0;0.9
14;BE0 21;BE;5718841333;5065376267;POINT (5718841333 5065376267);BE;Région wallonne;BE3;BE;0;solar;0.01;1
15;BE0 22;BE;4220123;50864911;POINT (4220123 50864911);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
15;BE0 22;BE;4220123;50864911;POINT (4220123 50864911);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
16;BE0 23;BE;5522003;50231395;POINT (5522003 50231395);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
16;BE0 23;BE;5522003;50231395;POINT (5522003 50231395);BE;Région wallonne;BE3;BE;0;solar;0.01;1
17;BE0 24;BE;3573303;51016347;POINT (3573303 51016347);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
17;BE0 24;BE;3573303;51016347;POINT (3573303 51016347);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
18;BE0 25;BE;4603271;51209464;POINT (4603271 51209464);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
18;BE0 25;BE;4603271;51209464;POINT (4603271 51209464);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
19;BE0 26;BE;5394287;50499853;POINT (5394287 50499853);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
19;BE0 26;BE;5394287;50499853;POINT (5394287 50499853);BE;Région wallonne;BE3;BE;6.693.129.151;ror;0;0.9
19;BE0 26;BE;5394287;50499853;POINT (5394287 50499853);BE;Région wallonne;BE3;BE;0;solar;0.01;1
20;BE0 3;BE;4177551;51162122;POINT (4177551 51162122);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
20;BE0 3;BE;4177551;51162122;POINT (4177551 51162122);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
21;BE0 4;BE;4927368;51134555;POINT (4927368 51134555);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
21;BE0 4;BE;4927368;51134555;POINT (4927368 51134555);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
22;BE0 5;BE;3551331;51193976;POINT (3551331 51193976);BE;Vlaams Gewest;BE2;BE;0;onwind;0.015;1
22;BE0 5;BE;3551331;51193976;POINT (3551331 51193976);BE;Vlaams Gewest;BE2;BE;0;solar;0.01;1
23;BE0 6;BE;5807647667;5034269867;POINT (5807647667 5034269867);BE;Région wallonne;BE3;BE;0;onwind;0.015;1
